Goal,Epic,FR_ID,NFR_ID,Test,CI Job
Gym API Compatibility,Gym API Support,FR-ENV-001,NFR-REPRO-003,test_env_api.py,ci-gym-tests
Data Reliability,Data Import,FR-DATA-002,NFR-DOC-006,test_data_import.py,ci-data-tests
Contributor Experience,CLI Tooling,FR-CLI-003,NFR-DOC-006,test_cli_import.py,ci-cli-tests
Rules Compliance,Turn/Phase/Step,FR-RULES-004,NFR-OBS-007,test_turns_phases.py,ci-rules-tests
Rules Compliance,Stack Handling,FR-RULES-005,NFR-REPRO-003,test_stack_priority.py,ci-rules-tests
Rules Compliance,Targeting,FR-RULES-006,NFR-REPRO-003,test_targeting.py,ci-rules-tests
Rules Compliance,State-Based Actions,FR-RULES-007,NFR-REL-002,test_sba.py,ci-rules-tests
Commander Mechanics,Commander Support,FR-RULES-008,NFR-PORT-004,test_commander.py,ci-commander-tests
System Performance,Performance Benchmarks,,NFR-PERF-001,test_benchmark.py,ci-benchmarks
System Security,Security Hygiene,,NFR-SEC-005,test_security_scan.py,ci-security
System Observability,Telemetry,,NFR-OBS-007,test_observability.py,ci-observability
